epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.87104,0.96623,9.53832,0.04661,0,0,0,0,0,16.98,0,2e-05,2e-05,2e-05
2,7.9079,1.04464,9.50305,0.04843,0,0,0,0,0,16.9591,0,5.406e-05,5.406e-05,5.406e-05
3,11.6027,0.53462,9.85371,0.01961,0,0,0,0,0,16.9265,0,8.02e-05,8.02e-05,8.02e-05
4,15.0177,0.42685,9.57944,0.01667,0,0,0,0,0,16.8859,0,9.842e-05,9.842e-05,9.842e-05
5,18.4706,0.34197,9.72273,0.01132,0,0,0,0,0,16.8408,0,0.00010872,0.00010872,0.00010872
6,21.8942,0.3601,9.50281,0.01214,0,0,0,0,0,16.795,0,0.0001111,0.0001111,0.0001111
7,25.3917,0.40857,9.48169,0.01255,0,0,0,0,0,16.7449,0,0.00010556,0.00010556,0.00010556
8,28.7899,0.37709,9.2847,0.01254,0,0,0,0,0,16.7081,0,9.21e-05,9.21e-05,9.21e-05
9,32.2188,0.69094,9.39682,0.03341,0,0,0,0,0,16.6912,0,7.072e-05,7.072e-05,7.072e-05
10,35.7497,0.46539,9.06373,0.01633,0,0,0,0,0,16.6669,0,4.142e-05,4.142e-05,4.142e-05
